time_sec,total_area_um2,num_active_islands,total_area_um2_smooth
509.933,96057.022,32,91757.928458
509.967,96057.022,32,91749.038436
510.0,96057.022,32,91743.194526
510.033,96057.022,32,91742.013207
510.067,101703.023,35,91740.83188800002
510.1,101703.023,35,91739.650569
510.133,101703.023,35,91741.290408
510.167,101703.023,35,91742.93024700001
510.2,97154.75200000001,32,91744.570086
510.233,97154.75200000001,32,91746.22221800001
510.267,97154.75200000001,32,91747.87435000001
510.3,97154.75200000001,32,91745.33961400001
510.333,94265.986,28,91742.802419
510.367,94265.986,28,91740.265224
510.4,94265.986,28,91734.66716600001
510.433,94265.986,28,91729.069108
510.467,94265.986,28,91723.47105
510.5,94265.986,28,91717.872992
510.533,90209.422,29,91713.782007
510.567,90209.422,29,91709.69348
510.6,90209.422,29,91705.604953
510.633,90209.422,29,91701.516426
510.667,90209.422,29,91697.427899
510.7,90209.422,29,91693.33937199999
510.733,90209.422,29,91689.250845
510.767,90209.422,29,91685.162318
510.8,85840.624,23,91684.065814
510.833,85840.624,23,91682.96931
510.867,85840.624,23,91681.87280600001
510.9,85840.624,23,91680.776302
510.933,85840.624,23,91682.434578
510.967,85840.624,23,91684.092854
511.0,85840.624,23,91685.37620900001
511.033,86987.523,24,91686.64973
511.067,86987.523,24,91686.770199
511.1,92576.977,28,91683.896184
511.133,92576.977,28,91681.022169
511.167,92576.977,28,91678.148154
511.2,92576.977,28,91674.652132
511.233,92576.977,28,91671.15611
511.267,92576.977,28,91669.413016
511.3,92576.977,28,91667.66992199999
511.333,92576.977,28,91666.042378
511.367,90457.728,26,91666.93236299999
511.4,90457.728,26,91667.822348
511.433,90457.728,26,91675.736339
511.467,90457.728,26,91681.539684
511.5,90457.728,26,91687.343029
511.533,90457.728,26,91693.146374
511.567,93151.043,29,91698.949719
511.6,93151.043,29,91704.75306399999
511.633,93151.043,29,91710.55640900001
511.667,93151.043,29,91715.961476
511.7,93151.043,29,91720.169242
511.733,93151.043,29,91724.377008
511.767,93135.063,29,91728.584774
511.8,93135.063,29,91732.79254000001
511.833,89056.371,24,91737.00030600002
511.867,89056.371,24,91741.20807200001
511.9,89056.371,24,91745.415838
511.933,89056.371,24,91746.20256699999
511.967,89056.371,24,91745.150321
512.0,89056.371,24,91744.098075
512.033,92942.069,30,91743.045829
512.067,92942.069,30,91741.993583
512.1,92942.069,30,91740.941337
512.133,92942.069,30,91739.889091
512.167,95541.96,31,91738.836845
512.2,95541.96,31,91737.784599
512.233,95541.96,31,91740.641406
512.267,95541.96,31,91743.498213
512.3,94146.747,29,91746.35502
512.333,94146.747,29,91749.21182699999
512.367,94146.747,29,91752.06863400001
512.4,94146.747,29,91754.925441
512.433,87298.527,21,91754.485373
512.467,87298.527,21,91754.045305
512.5,87298.527,21,91753.60523700001
512.533,87298.527,21,91753.165169
512.567,87298.527,21,91752.722642
512.6,87298.527,21,91752.280115
512.633,87298.527,21,91751.837588
512.667,87298.527,21,91751.395061
512.7,87298.527,21,91751.61633599999
512.733,87298.527,21,91754.17566400001
512.767,87298.527,21,91756.734992
512.8,87298.527,21,91759.29431999999
512.833,87298.527,21,91761.853648
512.867,87298.527,21,91763.67541299999
512.9,87298.527,21,91765.497178
512.933,87298.527,21,91767.318943
512.967,89620.602,27,91769.140708
513.0,89620.602,27,91764.37362599999
513.033,89620.602,27,91759.606544
513.067,89620.602,27,91754.839462
513.1,89620.602,27,91750.07238
513.133,89620.602,27,91748.312072
513.167,89620.602,27,91746.551764
513.2,89620.602,27,91748.030565
513.233,88334.794,25,91749.509366
513.267,88334.794,25,91752.91933799999
513.3,88334.794,25,91756.32931
513.333,88334.794,25,91759.739282
513.367,88334.794,25,91758.6059
513.4,88334.794,25,91757.47251800001
513.433,88334.794,25,91756.33913600001
513.467,88704.802,29,91753.37907000001
513.5,88704.802,29,91750.419004
513.533,88704.802,29,91746.28868099999
513.567,88704.802,29,91742.158358
513.6,92044.707,34,91738.02803500001
513.633,92044.707,34,91734.958566
513.667,92044.707,34,91731.889097
513.7,92044.707,34,91728.81962800001
513.733,90918.703,32,91725.750159
513.767,90918.703,32,91722.68069000001
513.8,90918.703,32,91706.56997899999
513.833,90918.703,32,91690.45926799999
513.867,88455.261,30,91674.34855699999
513.9,88455.261,30,91658.237846
513.933,88455.261,30,91647.27159799999
513.967,88455.261,30,91636.30535
514.0,88455.261,30,91625.567749
514.033,88455.261,30,91618.752727
514.067,88455.261,30,91615.887323
514.1,88455.261,30,91613.021919
514.133,88455.261,30,91610.156515
514.167,88455.261,30,91607.26652599999
514.2,88455.261,30,91599.766802
514.233,88455.261,30,91592.26707799999
514.267,88455.261,30,91596.14048900001
514.3,88455.261,30,91595.13741600001
514.333,88455.261,30,91594.134343
514.367,88455.261,30,91593.13127
514.4,91083.425,32,91592.12819700001
514.433,91083.425,32,91591.125124
514.467,91083.425,32,91590.122051
514.5,91083.425,32,91586.17857999999
514.533,91083.425,32,91582.235109
514.567,91083.425,32,91578.28795
514.6,91083.425,32,91574.34079100001
514.633,91083.425,32,91570.39363199999
514.667,86156.544,23,91566.44647299999
514.7,86156.544,23,91562.499314
514.733,86156.544,23,91558.552155
514.767,86156.544,23,91557.78017999999
514.8,86156.544,23,91557.00820499999
514.833,86156.544,23,91557.968262
514.867,92269.66799999999,24,91558.928319
514.9,92269.66799999999,24,91559.888376
514.933,92269.66799999999,24,91560.84843299999
514.967,92269.66799999999,24,91561.80849000001
515.0,92269.66799999999,24,91560.50670299999
515.033,92269.66799999999,24,91559.20491599999
515.067,92269.66799999999,24,91557.90312900001
515.1,92269.66799999999,24,91553.417557
515.133,88980.161,21,91548.931985
515.167,88980.161,21,91544.446413
515.2,88980.161,21,91539.96084100001
515.233,88980.161,21,91535.47526899999
515.267,88980.161,21,91530.989697
515.3,88980.161,21,91526.504125
515.333,89653.791,29,91520.436488
515.367,89653.791,29,91516.93309199999
515.4,89653.791,29,91513.42969599999
515.433,89653.791,29,91509.92629999999
515.467,93369.85,33,91506.422904
515.5,93369.85,33,91502.919508
515.533,93369.85,33,91499.41611199999
515.567,93369.85,33,91495.91271599999
515.6,93369.85,33,91492.40931999999
515.633,93369.85,33,91488.90592399999
515.667,93369.85,33,91485.40252799999
515.7,93369.85,33,91481.899132
515.733,90409.787,28,91488.96247399999
515.767,90409.787,28,91496.025816
515.8,90409.787,28,91503.089158
515.833,90409.787,28,91510.1525
515.867,90409.787,28,91524.601251
515.9,90409.787,28,91538.90495
515.933,90409.787,28,91553.20864900001
515.967,90409.787,28,91568.57688600001
516.0,90409.787,28,91583.32065800001
516.033,90409.787,28,91598.06443000001
516.067,90409.787,28,91612.80820199999
516.1,90409.787,28,91627.55197399999
516.133,99146.15699999999,30,91632.721023
516.167,99146.15699999999,30,91641.847067
516.2,99146.15699999999,30,91650.973111
516.233,99146.15699999999,30,91660.644947
516.267,99148.616,30,91670.316783
516.3,99148.616,30,91679.988619
516.333,99148.616,30,91689.654309
516.367,99148.616,30,91699.31999900001
516.4,90031.178,22,91708.985689
516.433,90031.178,22,91717.026294
516.467,90031.178,22,91725.06689899998
516.5,90031.178,22,91733.10750400001
516.533,90031.178,22,91741.141963
516.567,90031.178,22,91740.255669
516.6,90031.178,22,91739.369375
516.633,90031.178,22,91738.483081
516.667,90010.278,29,91737.596787
516.7,90010.278,29,91736.710493
516.733,90010.278,29,91735.824199
516.767,90010.278,29,91734.937905
516.8,96041.038,34,91734.051611
516.833,96041.038,34,91743.011708
516.867,96041.038,34,91751.97180500001
516.9,96041.038,34,91760.931902
516.933,94251.232,31,91769.891999
516.967,94251.232,31,91778.852096
517.0,94251.232,31,91784.97997100001
517.033,94251.232,31,91791.107846
517.067,89419.003,25,91797.235721
517.1,89419.003,25,91803.363596
517.133,89419.003,25,91809.491471
517.167,89419.003,25,91815.619346
517.2,89419.003,25,91808.16509899999
517.233,89419.003,25,91800.71085200002
517.267,89419.003,25,91789.70772500001
517.3,89419.003,25,91778.70459800001
517.333,93249.385,29,91767.70147100001
517.367,93249.385,29,91756.698344
517.4,93249.385,29,91745.69521699999
517.433,93249.385,29,91735.831617
517.467,93246.927,29,91737.11619599999
517.5,93246.927,29,91738.400775
517.533,93246.927,29,91739.685354
517.567,93246.927,29,91740.969933
517.6,88123.362,23,91742.254512
517.633,88123.362,23,91743.539091
517.667,88123.362,23,91738.130337
517.7,88123.362,23,91731.990172
517.733,88123.362,23,91725.850007
517.767,90827.738,27,91715.94338299999
517.8,90827.738,27,91706.03675900001
517.833,90827.738,27,91696.13013499998
517.867,90827.738,27,91686.223511
517.9,90827.738,27,91676.29107199999
517.933,90827.738,27,91670.77660099999
517.967,90950.665,32,91665.26213000002
518.0,90950.665,32,91663.490764
518.033,87797.608,28,91662.74337299999
518.067,87797.608,28,91661.995982
518.1,87797.608,28,91663.57804
518.133,87797.608,28,91665.16009800001
518.167,87797.608,28,91666.74215600001
518.2,87797.608,28,91668.32421400001
518.233,87165.76699999999,27,91669.906272
518.267,87165.76699999999,27,91667.884133
518.3,87165.76699999999,27,91665.861994
518.333,87165.76699999999,27,91663.839855
518.367,87165.76699999999,27,91658.315547
518.4,87165.76699999999,27,91647.07147999998
518.433,87165.76699999999,27,91635.827413
518.467,87165.76699999999,27,91624.583346
518.5,87165.76699999999,27,91613.33927899999
518.533,87165.76699999999,27,91602.09521200001
518.567,87165.76699999999,27,91590.851145
518.6,87165.76699999999,27,91579.607078
518.633,87165.76699999999,27,91568.363011
518.667,87165.76699999999,27,91565.30829100001
518.7,94840.05099999999,31,91562.25357100001
518.733,94763.836,31,91559.19885100001
518.767,91770.582,33,91556.144131
518.8,91770.582,33,91553.089411
518.833,91770.582,33,91550.034691
518.867,91770.582,33,91546.97997100001
518.9,91770.582,33,91543.92525100001
518.933,91782.875,33,91540.870531
518.967,89796.386,30,91538.80659800001
519.0,89814.825,30,91536.74266500001
519.033,87501.35399999999,27,91534.67873200001
519.067,87501.35399999999,27,91532.61479899999
519.1,87501.35399999999,27,91526.092332
519.133,87501.35399999999,27,91519.56986500001
519.167,87501.35399999999,27,91513.047398
519.2,87501.35399999999,27,91506.518784
519.233,87501.35399999999,27,91497.91886299998
519.267,89391.962,32,91489.318942
519.3,89391.962,32,91480.719021
519.333,89391.962,32,91472.11910000001
519.367,89863.99799999999,33,91467.265969
519.4,89863.99799999999,33,91461.402386
519.433,89863.99799999999,33,91461.19955500001
519.467,89863.99799999999,33,91460.99672400001
519.5,89863.99799999999,33,91460.793893
519.533,86951.87599999999,30,91460.59106199999
519.567,86951.87599999999,30,91463.962929
519.6,86951.87599999999,30,91467.33479600001
519.633,86951.87599999999,30,91470.706663
519.667,86951.87599999999,30,91474.07853
519.7,86951.87599999999,30,91475.32500299999
519.733,86951.87599999999,30,91476.571476
519.767,86951.87599999999,30,91477.817949
519.8,86951.87599999999,30,91479.06442200001
519.833,86951.87599999999,30,91477.070559
519.867,86951.87599999999,30,91475.076696
519.9,86951.87599999999,30,91473.08283300001
519.933,86951.87599999999,30,91471.29548900001
519.967,86951.87599999999,30,91469.508145
520.0,86951.87599999999,30,91467.720801
520.033,87637.80099999999,31,91458.405455
520.067,87637.80099999999,31,91449.090109
520.1,87637.80099999999,31,91439.8645
520.133,91640.281,31,91430.63889100001
520.167,91640.281,31,91421.41328200001
520.2,91640.281,31,91413.794318
520.233,91640.281,31,91408.33762300001
520.267,91640.281,31,91403.022294
520.3,87801.294,27,91402.955916
